,overview_matchesplayed,overview_matcheswon,overview_matcheslost,overview_matchesabandoned,overview_timeplayed,overview_kills,overview_deaths,overview_attackerroundswon,overview_attackerteamkillsinobj,overview_attackerenemykillsinobj,overview_attackerteamkillsoutobj,overview_attackerenemykillsoutobj,overview_defenderroundswon,overview_defenderteamkillsinobj,overview_defenderenemykillsinobj,overview_defenderteamkillsoutobj,overview_defenderenemykillsoutobj,overview_headshots,overview_headshotsmissed,overview_headshotpercentage,overview_wallbangs,overview_damagedealt,overview_assists,overview_teamkills,overview_playstyleattackerbreacher,overview_playstyleattackerentryfragger,overview_playstyleattackerintelprovider,overview_playstyleattackerroamclearer,overview_playstyleattackersupporter,overview_playstyleattackerutilityclearer,overview_playstyledefenderdebuffer,overview_playstyledefenderentrydenier,overview_playstyledefenderintelprovider,overview_playstyledefendersupporter,overview_playstyledefendertrapper,overview_playstyledefenderutilitydenier,overview_kdratio,overview_killspermatch,overview_killspermin,overview_winpercentage,overview_timealive,is_cheater
852,479,146,314,0,0,521,1192,352,0,0,0,0,396,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1.09,521.0,30.48,0,1
853,905,487,410,0,0,3988,4275,1450,0,0,0,0,1806,0,0,0,0,0,0,0.0,0,0,0,0,9,161,18,9,17,63,102,79,118,46,72,71,0.93,4.41,3988.0,53.81,0,1
854,2376,1227,1095,31,1427831,10458,9649,2588,0,18,2,51,3054,0,9,1,75,70,89,44.03,11,15469,21,3,178,312,361,178,285,311,172,220,243,224,268,279,1.08,4.4,0.44,51.64,147,1
855,933,455,352,0,0,4557,3692,1293,0,0,0,0,1481,0,0,0,0,0,0,0.0,0,0,0,0,1,34,2,1,5,24,14,10,20,19,14,29,1.23,4.88,4557.0,48.77,0,1
856,1160,667,493,0,1780733,7866,5142,1803,0,0,0,0,2190,0,0,0,0,0,0,0.0,0,0,0,0,5,5,0,5,0,2,1,4,0,2,2,3,1.53,6.78,0.27,57.5,346,1
857,528,313,215,0,0,2153,1441,1669,0,0,0,0,1726,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,4.08,2153.0,59.28,0,1
858,1347,728,608,10,1029709,6129,4851,1752,0,37,3,301,2070,0,136,3,204,878,611,58.97,108,90226,78,6,134,463,328,134,276,201,196,294,401,362,235,261,1.26,4.55,0.36,54.05,212,1
859,118,67,38,0,147634,706,497,171,0,0,0,0,199,0,0,0,0,0,0,0.0,0,0,0,0,47,158,146,47,141,151,161,64,120,106,89,142,1.42,5.98,0.29,56.78,297,1
860,557,265,281,0,0,2190,2248,680,0,0,0,0,754,0,0,0,0,0,0,0.0,0,0,0,0,11,52,11,11,35,25,67,6,87,35,4,10,0.97,3.93,2190.0,47.58,0,1
861,165,103,62,0,0,1058,646,313,0,0,0,0,320,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,6.41,1058.0,62.42,0,1
